image,caption
./coco_dataset/train2017/000000286182.jpg,A man sitting in a chair across from a table topped with food.
./coco_dataset/train2017/000000248400.jpg,A boy holding open and gesturing towards a pizza box kid with a message written on it.
./coco_dataset/train2017/000000311394.jpg,A child holds a toothbrush in their hand.
./coco_dataset/train2017/000000213255.jpg,A man cooking food on a red art on the street.
./coco_dataset/train2017/000000015660.jpg,A man para glides in the water while others do so nearby.
./coco_dataset/train2017/000000329447.jpg,A dog and some cattle by a fence..
./coco_dataset/train2017/000000309964.jpg,two people sitting in a field with open umbrellas 
./coco_dataset/train2017/000000389451.jpg,Four cows walking down a sandy beach near the water.
./coco_dataset/train2017/000000403353.jpg,"Bedside with lamp, large bound book, and humidifier. "
./coco_dataset/train2017/000000216277.jpg,An partially eaten apply and a cell phone set on a table.
./coco_dataset/train2017/000000338625.jpg,A stopped bus pulled up to the bus stop
./coco_dataset/train2017/000000475484.jpg,A photograph of a highly decorated parking meter.
./coco_dataset/train2017/000000207585.jpg,"Four stuffed animals, a leopard and three teddy bears, in a row sitting on a stone ledge with grass and trees behind."
./coco_dataset/train2017/000000303653.jpg,A woman riding a horse and looking at her reflection in a mirror.
./coco_dataset/train2017/000000368982.jpg,Some scrap book scissors are on a brown table.
./coco_dataset/train2017/000000062355.jpg,A red-shirted team playing a game of baseball.
./coco_dataset/train2017/000000416330.jpg,The cat is laying down squashing one side of its face.
./coco_dataset/train2017/000000499768.jpg,A fire hydrant with grass grown around it on a curb side.
./coco_dataset/train2017/000000345261.jpg,some giraffes standing by each other in a field
./coco_dataset/train2017/000000112798.jpg,A cat is on papers on a computer desk.
./coco_dataset/train2017/000000326248.jpg,A tennis court has a few people in the bleachers.
./coco_dataset/train2017/000000321333.jpg,a couple of young kids are sitting together
./coco_dataset/train2017/000000015497.jpg,A cat is playing with a computer mouse.
./coco_dataset/train2017/000000561223.jpg,A young man riding a surfboard on a wave.
./coco_dataset/train2017/000000020571.jpg,some boats that are by a dock in some water
./coco_dataset/train2017/000000060855.jpg,Five oranges with a red apple and a green apple.
./coco_dataset/train2017/000000025057.jpg,a man holding a drink with a frizbee in front of him
./coco_dataset/train2017/000000061747.jpg,there is a woman about to ski down a hill
./coco_dataset/train2017/000000011699.jpg,"A girl making a ""peace sign"" with her hand and a woman holding a big black suitcase."
./coco_dataset/train2017/000000568584.jpg,A ghost sitting on a living room chair.
./coco_dataset/train2017/000000012120.jpg,Two women play tennis on a blue court.
./coco_dataset/train2017/000000274219.jpg,A man poses for a formal portrait in an historic photo.
./coco_dataset/train2017/000000337055.jpg,A woman is sitting with a suitcase on some train tracks.
./coco_dataset/train2017/000000076416.jpg,A double decker bus that is parked in front of a big building. 
./coco_dataset/train2017/000000137950.jpg,A plane flies through the sky above some trees. 
./coco_dataset/train2017/000000013177.jpg,a man fixing a tire for a motorcycle
./coco_dataset/train2017/000000494863.jpg,A brown train parked next to the road.
./coco_dataset/train2017/000000324927.jpg,Two slices of pizza sit on a plate with an orange drink.
./coco_dataset/train2017/000000301376.jpg,A business on the corner of a big busy city street.
./coco_dataset/train2017/000000283070.jpg,The fresh oranges are cut up on the table outside.
./coco_dataset/train2017/000000448256.jpg,Men looking at something near a boat and a truck with the hood raised.
./coco_dataset/train2017/000000475223.jpg,a large bird catching a gray from in shallow water near grass
./coco_dataset/train2017/000000538458.jpg,THERE ARE PEOPLE PLAYING SKATE BOARD ON THE STREET 
./coco_dataset/train2017/000000509719.jpg,The small brown bird is standing on the ground beside another animal.
./coco_dataset/train2017/000000221017.jpg,A brown chicken standing on top of a lush green field.
./coco_dataset/train2017/000000051976.jpg,A man riding a wave on top of a surfboard.
./coco_dataset/train2017/000000096825.jpg,The elderly man  on skis is making his way down the edge of the snow-covered road. 
./coco_dataset/train2017/000000255483.jpg,Person holding up a piece of paper with scissors on it. 
./coco_dataset/train2017/000000429623.jpg,A pizza sitting in front of a can of pepsi
./coco_dataset/train2017/000000545407.jpg,A gray and blue plane flies in the blue sky.
./coco_dataset/train2017/000000541664.jpg,a number of lego toys near a laptop
./coco_dataset/train2017/000000432468.jpg,The brown cat is lying on a luggage bag.
./coco_dataset/train2017/000000293071.jpg,A fire hydrant painted in the American patriotic colors
./coco_dataset/train2017/000000396338.jpg,A couple of cars on a city street.
./coco_dataset/train2017/000000003553.jpg,A skateboarder is riding on boards that have been placed over grass.
./coco_dataset/train2017/000000486479.jpg,A white dog is peeking out from under a hanging cloth.
./coco_dataset/train2017/000000097924.jpg,Four people trying to get a black horse into the back of a blue and white truck.
./coco_dataset/train2017/000000523807.jpg,A foot long hot dog sitting on top of a bun.
./coco_dataset/train2017/000000417779.jpg,A fire hydrant in the middle of the street curbside
./coco_dataset/train2017/000000243199.jpg,Bedroom scene of bed with laptop computer on the side.
./coco_dataset/train2017/000000447314.jpg,A woman and girl flying a kite near a large castle.
./coco_dataset/train2017/000000134722.jpg,A train on the track pulling by a train station.
./coco_dataset/train2017/000000270677.jpg,A boy posing for a picture with his skateboard.
./coco_dataset/train2017/000000088218.jpg,The street signs and traffic signal are below wires attached to the pole.
./coco_dataset/train2017/000000449406.jpg,A zebra standing on a dirty rocky field.
./coco_dataset/train2017/000000199395.jpg,A man flying a colorful kite over a sandy beach.
./coco_dataset/train2017/000000417085.jpg,two cows stand next to paved road  in country
./coco_dataset/train2017/000000390301.jpg,A fire hydrant with frozen water coming out of it.
./coco_dataset/train2017/000000393056.jpg,a man wearing a wet suit riding the wave
./coco_dataset/train2017/000000216739.jpg,This giraffe has two horns on the top of its head. 
./coco_dataset/train2017/000000011511.jpg,A sculpture of two women stting on a bench with their purses on the ground while people standing in a line behind them. 
./coco_dataset/train2017/000000363666.jpg,Young men having a meal at a table.
./coco_dataset/train2017/000000274219.jpg,A man wearing a jacket and  a bow tie.
./coco_dataset/train2017/000000098287.jpg,A black and white image of a young man waiting to take his swing. 
./coco_dataset/train2017/000000141328.jpg,a large bowl full of pasta with many other foods
./coco_dataset/train2017/000000239041.jpg,Bathroom scene showing a television and a hair dryer.
./coco_dataset/train2017/000000417911.jpg,a man leaning on a surfboard in the water riding a wave
./coco_dataset/train2017/000000439593.jpg,A closeup of a train at the station for people to board. 
./coco_dataset/train2017/000000271116.jpg,Some very nicely dressed men sitting at a big table.
./coco_dataset/train2017/000000417085.jpg,A couple of cows standing next to each other near a street.
./coco_dataset/train2017/000000308631.jpg, A motorcycle parked in front of a crowd of people.
./coco_dataset/train2017/000000555050.jpg,"A car driving in an intersection, past a furniture shop. "
./coco_dataset/train2017/000000200961.jpg,A man is charging through a field of grass.
./coco_dataset/train2017/000000482487.jpg,looking through a window at a small clock and a large one
./coco_dataset/train2017/000000514376.jpg,A city bus driving down a street next to a hotel.
./coco_dataset/train2017/000000578500.jpg,The room has red walls with a blue chair
./coco_dataset/train2017/000000180792.jpg,A toilet stall with exposed pipes and a window.
./coco_dataset/train2017/000000481390.jpg,A group of young men playing a game of basketball.
./coco_dataset/train2017/000000459757.jpg,A giraffe and other animals in a grassy pasture.
./coco_dataset/train2017/000000249550.jpg,A spare bedroom with a bed with a flowered blanket.
./coco_dataset/train2017/000000323151.jpg,A whole pizza on a white plate on a table.
./coco_dataset/train2017/000000341828.jpg,A MAN IS EATING A TALKING ON THE PHONE 
./coco_dataset/train2017/000000231527.jpg,A table topped with a couple glasses of OJ and orange slices.
./coco_dataset/train2017/000000346703.jpg,A series of pictures showing a flambe cake.
./coco_dataset/train2017/000000237517.jpg,A wooden table topped with plates filled with lots of food.
./coco_dataset/train2017/000000088462.jpg,A large yellow school bus stopping on a road.
./coco_dataset/train2017/000000221708.jpg,Lights shine on a wooden dining room table.
./coco_dataset/train2017/000000194471.jpg,A skate board rider skating on the edge of a ramp.
./coco_dataset/train2017/000000569917.jpg,THERE IS A BATHROOM WITH A SINK AND A MIRROR 
./coco_dataset/train2017/000000555597.jpg,We are looking at an old photo of a city street.
./coco_dataset/train2017/000000390555.jpg,The black and white photograph of a classroom of schoolchildren is a bit out of focus on the right side of the picture.
./coco_dataset/train2017/000000221708.jpg,Partial picture of a kitchen and a table and chairs under a lamp.
./coco_dataset/train2017/000000425361.jpg,A young man that is having some wine and something to eat. 
./coco_dataset/train2017/000000117744.jpg,A young girl standing on a grate with a racket.
./coco_dataset/train2017/000000489046.jpg,A bird sitting inside of a green bush outside
./coco_dataset/train2017/000000332351.jpg,so many people on the sea skating and swimming
./coco_dataset/train2017/000000439854.jpg,A man doing a trick on a skateboard off of a rail.
./coco_dataset/train2017/000000048555.jpg,A black and white photo of jockeys riding their horses
./coco_dataset/train2017/000000288762.jpg,"A square plate of carrots, spinach and more."
./coco_dataset/train2017/000000246968.jpg,A woman who is cooking in the kitchen.
./coco_dataset/train2017/000000498032.jpg,A woman holding a Wii controller in the air. 
./coco_dataset/train2017/000000562818.jpg,A group of people in the snow with skis.
./coco_dataset/train2017/000000366611.jpg,Pit bull playing with soccer ball in the grass.
./coco_dataset/train2017/000000437205.jpg,a close up of a child holding a banana
./coco_dataset/train2017/000000015597.jpg,shirtless skateboarder going down a ramp on clear day 
./coco_dataset/train2017/000000511647.jpg,Man flying a kite high above hotel buildings
./coco_dataset/train2017/000000226903.jpg,"A table with many different objects, including a plate of sandwiches. "
./coco_dataset/train2017/000000129113.jpg,A large dark colored spoon sitting on a rack
./coco_dataset/train2017/000000383384.jpg,A baseball player holding a bat next to home plate.
./coco_dataset/train2017/000000079034.jpg,a blue fire hydrant standing close to a tree 
./coco_dataset/train2017/000000365208.jpg,A person in white is standing next to a table on sandy ground.
./coco_dataset/train2017/000000002157.jpg,A white cake topped with berries and a plate of fruit and cheeses.
./coco_dataset/train2017/000000390246.jpg,A man in wetsuit on surfboard riding a wave.
./coco_dataset/train2017/000000085376.jpg,A motorcycle sits in a parking lot with other cars.
./coco_dataset/train2017/000000491071.jpg,A couple of bathroom sinks sitting underneath a mirror.
./coco_dataset/train2017/000000107554.jpg,A surfboard leaning on a wheelbarrow in a backyard. 
./coco_dataset/train2017/000000465675.jpg,Large running mower sitting next to two boats on a ocean side.
./coco_dataset/train2017/000000551780.jpg,A clock  and a spoon atop a commercial building.
./coco_dataset/train2017/000000509014.jpg,a bunch of people on skis are in the snow 
./coco_dataset/train2017/000000467848.jpg,The ma is trying to tow a smaller truck. 
./coco_dataset/train2017/000000207728.jpg,Two white goats standing near some melting snow.
./coco_dataset/train2017/000000297396.jpg,Chocolate dessert bars covered in frosting and sprinkles.
./coco_dataset/train2017/000000436551.jpg,Two black geese are swimming in cloudy water.
./coco_dataset/train2017/000000060932.jpg,A black and white image of a formal occasion. 
./coco_dataset/train2017/000000534041.jpg,Mom has to help him eat his hot dog and bun.
./coco_dataset/train2017/000000133645.jpg,a small green and white boat parked near the sidewalk near a lake 
./coco_dataset/train2017/000000186282.jpg,"A computer screen has many colors, with a mouse and speakers next to it on the table."
./coco_dataset/train2017/000000251537.jpg,"A table with cilantro, a carrot, celery, and garlic."
./coco_dataset/train2017/000000484415.jpg,A hand is reaching over a white toilet.
./coco_dataset/train2017/000000224200.jpg,A large dog is tied up to a fire hydrant.
./coco_dataset/train2017/000000571313.jpg,A small fridge in a efficiency hotel room
./coco_dataset/train2017/000000131386.jpg,A group of airplanes in the sky in formation. 
./coco_dataset/train2017/000000036844.jpg,A living room has some chairs and a ceiling fan.
./coco_dataset/train2017/000000424551.jpg,People climbing up the snowy mountain side on skis
./coco_dataset/train2017/000000016451.jpg,two surf boars on a beach near the water 
./coco_dataset/train2017/000000530061.jpg,A child eating from a very large bowl 
./coco_dataset/train2017/000000085478.jpg,A large white polar bear playing in water.
./coco_dataset/train2017/000000377393.jpg,Looking down at a beach area and boardwalk that has a circular walkway and clock tower.
./coco_dataset/train2017/000000505573.jpg,A dog wearing a red tie and standing on a pair of stairs
./coco_dataset/train2017/000000520659.jpg,a white tent cover and many surfboards in a rack and people
./coco_dataset/train2017/000000360097.jpg,A pile of luggage sitting up against a white fence.
./coco_dataset/train2017/000000186449.jpg,An elderly woman with a kerchief on her head sits on the bench.
./coco_dataset/train2017/000000216516.jpg,A man riding skis on top of a snow covered slope.
./coco_dataset/train2017/000000565597.jpg,Slices of pizza upside down on a plate on a table.
./coco_dataset/train2017/000000239347.jpg,a man and a woman are laying in a bed
./coco_dataset/train2017/000000153299.jpg,A mother giraffe is standing with a baby giraffe.
./coco_dataset/train2017/000000512330.jpg,Open fridge door displaying a wide selection of food inside.
./coco_dataset/train2017/000000347544.jpg,There is an old multi colored volvo parked next to a motel
./coco_dataset/train2017/000000569825.jpg,A player in a baseball uniform on the field.
./coco_dataset/train2017/000000018380.jpg,A lot of people sitting around a table full of food.
./coco_dataset/train2017/000000214869.jpg,The woman is pointing to a phone in a cover.
./coco_dataset/train2017/000000176847.jpg,The bird is eating berries from the tree.
./coco_dataset/train2017/000000488385.jpg,The motorcycles are parked on the side of the building.
./coco_dataset/train2017/000000180011.jpg,A boy feeding four giraffes at a zoo from his hand
./coco_dataset/train2017/000000223182.jpg,a tennis player drying off his face with a towel 
./coco_dataset/train2017/000000532761.jpg,A living room with a table in front of a flat screen TV.
./coco_dataset/train2017/000000161044.jpg,A couple of airplanes flying under a cloudy sky.
./coco_dataset/train2017/000000389804.jpg,a bathroom with a brown wall and counter 
./coco_dataset/train2017/000000429761.jpg,Two men shaking hands while standing on a tennis court.
./coco_dataset/train2017/000000166768.jpg,"A woman holding a man by the arm, with a tie."
./coco_dataset/train2017/000000451155.jpg,a female sitting in a bed with the lights off working on a lap top computer
./coco_dataset/train2017/000000217060.jpg,A prop plane is flying through the sky.
./coco_dataset/train2017/000000465675.jpg,A beach with two boats and a tractor.
./coco_dataset/train2017/000000451090.jpg,A boat is floating along in the deep ocean
./coco_dataset/train2017/000000228436.jpg,there is a bike that is parked on a small bridge
./coco_dataset/train2017/000000506178.jpg,a guy playing wii in a blurry photo
./coco_dataset/train2017/000000404191.jpg,A refrigerator has been doubled as a city map.
./coco_dataset/train2017/000000569565.jpg,A yellow dump truck driving past a forest.
./coco_dataset/train2017/000000020571.jpg,A tugboat sits beside a ferry on placid water with a mountain in the distance.
./coco_dataset/train2017/000000171050.jpg,A brown and gold fire hydrant in front of a brick building.
./coco_dataset/train2017/000000438955.jpg,A group of ski racers on a race trail.
./coco_dataset/train2017/000000183437.jpg,Elephants carrying their handlers and passengers on their backs
./coco_dataset/train2017/000000194832.jpg,A television screen is displayed in an empty bus.
./coco_dataset/train2017/000000162858.jpg,cars setting at traffic light leading to capitol building
./coco_dataset/train2017/000000054592.jpg,Couple of people walking up the snowy mountain with skis
./coco_dataset/train2017/000000273642.jpg,A dog laying on its side with a remote control under its paw.
./coco_dataset/train2017/000000089697.jpg,a couple of people are sitting on a wood bench
./coco_dataset/train2017/000000297562.jpg,A barber shop with a young child getting a haircut.
./coco_dataset/train2017/000000289516.jpg,An old time looking clock surrounded by greenery. 
./coco_dataset/train2017/000000504415.jpg,A person on a court near a fence.
./coco_dataset/train2017/000000259382.jpg,A giraffe stands with it's front legs spread apart.
./coco_dataset/train2017/000000453302.jpg,"The kitchen has a refrigerator, toaster, and microwaves."
./coco_dataset/train2017/000000306139.jpg,A group of people sitting around a table with laptops and notebooks.
./coco_dataset/train2017/000000089697.jpg,this woman is sitting on a wood bench
./coco_dataset/train2017/000000254516.jpg,A baseball player practicing his swing at a game.
./coco_dataset/train2017/000000286907.jpg,A simple blue bathroom with only one toilet.
./coco_dataset/train2017/000000195918.jpg,A workspace inside an office with snowy trees outside the window.
./coco_dataset/train2017/000000501023.jpg,A road with California 138 and a stop sign.
./coco_dataset/train2017/000000015597.jpg,a male shirtless skateboarder is doing a trick
./coco_dataset/train2017/000000425221.jpg,A man waits in an airport terminal as planes take-off.
./coco_dataset/train2017/000000219485.jpg,a black cat sitting in the window sill
./coco_dataset/train2017/000000308531.jpg,A large tall building with a clock on the top.
./coco_dataset/train2017/000000353096.jpg,A computer with an image of lighting on the screen. 
./coco_dataset/train2017/000000414510.jpg,A person talking on a mobile phone helping an injured bicyclist.
./coco_dataset/train2017/000000435003.jpg,A computer desk that has three monitors on top of it.
./coco_dataset/train2017/000000534827.jpg,Motorcyclists are riding down the street with each other.
./coco_dataset/train2017/000000263594.jpg,A bird walking past a white car in a lot
./coco_dataset/train2017/000000401862.jpg,a line of food trucks and a group of people stand by
./coco_dataset/train2017/000000429761.jpg,Two tennis players are facing each other over a tennis net.
./coco_dataset/train2017/000000127987.jpg,A bobble head is shown next to computer screens.
./coco_dataset/train2017/000000102356.jpg,A woman riding a green motorcycle with a side car.
./coco_dataset/train2017/000000032817.jpg,Two men working on and repairing a toilet
./coco_dataset/train2017/000000201426.jpg,A couple of kids at a table with some food.
./coco_dataset/train2017/000000312263.jpg,The clock tower is on the first floor of the tall building. 
./coco_dataset/train2017/000000206838.jpg,Two beautiful women riding horses in the ocean in bikinis.
./coco_dataset/train2017/000000358525.jpg,The little boy is having fun playing at the computer keybord
./coco_dataset/train2017/000000529122.jpg,The people are selecting their donuts at the counter.
./coco_dataset/train2017/000000076261.jpg,two birds fly in the sky over mountains
./coco_dataset/train2017/000000181666.jpg,a man and a large herd of goats in a desert setting.
./coco_dataset/train2017/000000154425.jpg,A young boy flying a colorful kite on top of a sidewalk.
./coco_dataset/train2017/000000218362.jpg,Multiple time pieces displayed on the wall and on a flat surface.
./coco_dataset/train2017/000000392481.jpg,A nice jet plane flying into some grey skies.
./coco_dataset/train2017/000000102805.jpg,A man holding a frisbee in a parking lot near water. 
./coco_dataset/train2017/000000491464.jpg,Kid poses for a picture in a baseball uniform holding a bat
./coco_dataset/train2017/000000017207.jpg,A white bus with a flat tire sitting next to a bench.
./coco_dataset/train2017/000000062353.jpg,A photo looking at the back side of two giraffes check out the people.
./coco_dataset/train2017/000000109441.jpg,A square reflective glass building sitting next to a street light.
./coco_dataset/train2017/000000127517.jpg,a row of surf boards placed in the sand
./coco_dataset/train2017/000000387148.jpg,Many livestock grazing in a field under a cloudy sky. 
./coco_dataset/train2017/000000002532.jpg,A person on skis and with poles in the snow and facing the blue sky.
./coco_dataset/train2017/000000054164.jpg,a man in a wetsuit riding a wave on a surfboard
./coco_dataset/train2017/000000366225.jpg,a monitor sits on a desk in front of a keyboard 
./coco_dataset/train2017/000000210915.jpg,A man riding a surfboard on a wave in the ocean.
./coco_dataset/train2017/000000167572.jpg,"A plate that has a sandwich, some chips, and a salad on it."
./coco_dataset/train2017/000000488385.jpg,A very nice looking motorcycle with some long handle bars.
./coco_dataset/train2017/000000226171.jpg,A computer monitor sitting above a computer keyboard.
./coco_dataset/train2017/000000420840.jpg,A young toddler with food on her face sticking out her tongue. 
./coco_dataset/train2017/000000416104.jpg,A group of people sitting under umbrellas drinking beer.
./coco_dataset/train2017/000000300913.jpg,A cat looking forward while laying down on a green cushion. 
./coco_dataset/train2017/000000372317.jpg,A red bus driving down a street next to a tall building.
./coco_dataset/train2017/000000284743.jpg,A group of people staring at a woman holding a bat.
./coco_dataset/train2017/000000479912.jpg,An airplane with one wing stands motionless on the tarmac.
./coco_dataset/train2017/000000532690.jpg,A woman with blonde hair and glasses plays a video game
./coco_dataset/train2017/000000421455.jpg,Car with window down and dog sticking out while taking pictures
./coco_dataset/train2017/000000576566.jpg,A man in red shirt doing a trick on skateboard.
./coco_dataset/train2017/000000344100.jpg,"A table has a camera, cup, and a plate with a sandwich on it."
./coco_dataset/train2017/000000230819.jpg,A wetsuit clad surfer catching a wave in front of a pier.
./coco_dataset/train2017/000000547886.jpg,Four people on horses walking on beach next to water.
./coco_dataset/train2017/000000287545.jpg,A couple of giraffe standing in a building.
./coco_dataset/train2017/000000079969.jpg,The man is playing a game of tennis on the court.
./coco_dataset/train2017/000000169169.jpg,"People are walking around a plaza that has a sign that reads ""Spring in the City""."
./coco_dataset/train2017/000000308476.jpg,a white bear is standing out on the rocks
./coco_dataset/train2017/000000307598.jpg,A commuter train that is in the train yard and is parked. 
./coco_dataset/train2017/000000297396.jpg,A plate of desserts with frosting and sprinkles.
./coco_dataset/train2017/000000320554.jpg,A black cat sits beneath a bench in the sun.
./coco_dataset/train2017/000000370677.jpg,Some girls in colorful shirts standing by some pastries.
./coco_dataset/train2017/000000455872.jpg,A pier with various boats and ships parked. 
./coco_dataset/train2017/000000453584.jpg,A red bench on a slanted floor has the Coca-Cola symbol on it.
./coco_dataset/train2017/000000497628.jpg,A wooden bed with white bedding and pillows
./coco_dataset/train2017/000000039914.jpg,A woman and small child are trying to fly a kite.
./coco_dataset/train2017/000000074200.jpg,A group of surfboards sitting up against wooden poles.
./coco_dataset/train2017/000000411665.jpg,The kitten is pawing its own image while gazing into the hand mirror.
./coco_dataset/train2017/000000199681.jpg,The door to a microwave is open and is exposing a stuffed animal is propped inside.
./coco_dataset/train2017/000000144114.jpg,a man flying a small plane in the  clear weather 
./coco_dataset/train2017/000000117374.jpg,Two cats sitting in the dirt under a tree.
./coco_dataset/train2017/000000289741.jpg,Beautiful view of two cruise ships at dock.
./coco_dataset/train2017/000000527695.jpg,A white tray of broccoli on a table.
./coco_dataset/train2017/000000193348.jpg,there is a young child that is brushing his teeth
./coco_dataset/train2017/000000198928.jpg,A woman stands next to a traffic light.
./coco_dataset/train2017/000000091654.jpg,An orange bowl filled with lots of noodles and beef.
./coco_dataset/train2017/000000378515.jpg,An outdoor market place with a person shopping for bananas.
./coco_dataset/train2017/000000577864.jpg,Three people playing ball game on sandy ground. 
./coco_dataset/train2017/000000098392.jpg,A double decker bus makes its way past a tall clock tower.
./coco_dataset/train2017/000000475779.jpg,There is an elephant standing near a tree.
./coco_dataset/train2017/000000244019.jpg,a white wall with some graffiti and a red white and blue fire hydrant
./coco_dataset/train2017/000000050811.jpg,am empty bowl and three empty beer bottles in front of a man
./coco_dataset/train2017/000000311190.jpg,A sleepy dog wearing a cowboy hat in the back seat of a car
./coco_dataset/train2017/000000475484.jpg,A parking meter is decorated with a house.
./coco_dataset/train2017/000000186296.jpg,The grey and white cat is beside a rubber show.
./coco_dataset/train2017/000000069106.jpg,A group of zebras stand together by a rock wall. 
./coco_dataset/train2017/000000231580.jpg,The man is talking to the crowd of people
./coco_dataset/train2017/000000290248.jpg,A crowd of people are walking through a covered sidewalk.
./coco_dataset/train2017/000000327601.jpg,A barefoot woman sitting in a chair relaxing.
./coco_dataset/train2017/000000323355.jpg,A young boy dressed in yellow holding a pizza in a box.
./coco_dataset/train2017/000000090891.jpg,Five men are selling a large amount of bananas.
./coco_dataset/train2017/000000021465.jpg,A blue shelf holds different sized silver vases.
./coco_dataset/train2017/000000292446.jpg,A man eating pizza from pizza boxes on top of tables.
./coco_dataset/train2017/000000182441.jpg,A man standing on a beach in front of the ocean.
./coco_dataset/train2017/000000358923.jpg,the woman is wearing and umbrella hat and on her phone. 
./coco_dataset/train2017/000000478420.jpg,two lady's wearing long dresses and carrying baskest 
./coco_dataset/train2017/000000129945.jpg,a man is swinging a baseball bat at a game
./coco_dataset/train2017/000000535608.jpg,people  lying in the sun on the beach
./coco_dataset/train2017/000000327701.jpg,A woman is playing tennis with her children.
./coco_dataset/train2017/000000570688.jpg,Kites flying over a busy beach area on clear day.
./coco_dataset/train2017/000000481413.jpg,A toddler is standing on the shore holding a Frisbee.
./coco_dataset/train2017/000000292024.jpg,A woman smiling and looking at a delicious looking pizza
./coco_dataset/train2017/000000205542.jpg,A large metal chair with a brown teddy bear in it.
./coco_dataset/train2017/000000575357.jpg,A dog that is jumping in the air looking at a frisbee.
./coco_dataset/train2017/000000172977.jpg,A zebra standing on top of a dirt and grass field.
./coco_dataset/train2017/000000310862.jpg,A man in formal business attire stands in an office and looks angry.
./coco_dataset/train2017/000000268378.jpg,Men and women eating dinner at a table.  
./coco_dataset/train2017/000000022705.jpg,A woman in a short black dress is holding a champagne flute and standing in front of a refrigerator.
./coco_dataset/train2017/000000219271.jpg,Large group of people surrounding a truck on a mountain. 
./coco_dataset/train2017/000000197658.jpg,The baseball player is waiting for the ball.
./coco_dataset/train2017/000000041888.jpg,There are 3 female peacocks together walking around.
./coco_dataset/train2017/000000365385.jpg,A toothbrush is sitting in a colorful cup.
./coco_dataset/train2017/000000073533.jpg,Two little boys holding cell phones in their hands.
./coco_dataset/train2017/000000364297.jpg,A cat that is laying on the side of a computer.
./coco_dataset/train2017/000000554002.jpg,A black dog on a leash and people's legs
./coco_dataset/train2017/000000169356.jpg,a person jumping a skate board in the air
